3.05003597,0.071811711,11.7881994,0.282492744,4.468295438,0.06769459,4.328018223,0.071288104,4.471119898,0.070815686,4.336864454,0.073975499
3.216243705,0.07576628,12.41581187,0.297922679,4.711198983,0.071617552,4.562443329,0.075391973,4.714023443,0.074680488,4.571289559,0.078035026
3.38245144,0.079716865,13.04218399,0.313302582,4.951278068,0.075531683,4.796868434,0.079492056,4.954102528,0.078541852,4.805714665,0.082092552
3.548659175,0.083663445,13.66607544,0.328607512,5.191357153,0.079444411,5.03129354,0.083591291,5.197006073,0.082401807,5.04013977,0.086146573
3.713626554,0.087606539,14.28624586,0.343867447,5.431436238,0.083353224,5.263507088,0.087688641,5.437085157,0.086258806,5.274564876,0.090199096
3.879834288,0.091546137,14.90517594,0.359082377,5.671515323,0.087254641,5.497932194,0.091783129,5.677164242,0.090110293,5.506778424,0.094245141
4.044801667,0.095482732,15.520385,0.374232284,5.911594408,0.091152578,5.730145742,0.095873175,5.917243327,0.093957717,5.74120353,0.098287686
4.209769046,0.099415341,16.13435372,0.389342225,6.148849033,0.095048604,5.96235929,0.099959287,6.154497952,0.097799607,5.973417078,0.102325207
4.375976781,0.103345953,16.74460142,0.404387085,6.388928117,0.09894069,6.194572838,0.104040439,6.394577037,0.101636011,6.205630626,0.106355239
4.539703803,0.107271066,17.35236843,0.419387015,6.626182743,0.102820818,6.424574828,0.108115132,6.631831662,0.105470988,6.437844174,0.110380287
4.704671182,0.111196169,17.95765476,0.434326872,6.863437368,0.106705464,6.656788376,0.112184886,6.869086287,0.109295957,6.667846164,0.114395336
4.86963856,0.115116286,18.56046041,0.449211741,7.100691993,0.110580194,6.886790366,0.116254644,7.109165372,0.113125939,6.900059712,0.118405383
5.033365583,0.119031405,19.16078538,0.464056596,7.337946618,0.11445491,7.116792357,0.120319436,7.343595537,0.116945926,7.130061702,0.122420392
5.198332961,0.122946512,19.75862967,0.47884147,7.575201243,0.118319656,7.346794347,0.124379214,7.580850162,0.120765883,7.360063693,0.126435405
5.362059984,0.12685664,20.35399328,0.493551341,7.809631408,0.122179423,7.576796338,0.128439024,7.818104787,0.124575814,7.590065683,0.130440405
5.525787006,0.130766749,20.9468762,0.508216151,8.046886033,0.126034213,7.80458677,0.132493839,8.055359413,0.128380744,7.817856116,0.134440419
5.689514028,0.134666866,,,8.281316198,0.12988903,8.034588761,0.136553695,8.289789578,0.132185723,8.047858106,0.138435425
5.853241051,0.138571972,,,8.515746364,0.133738839,8.262379194,0.140603545,8.524219743,0.135980738,8.275648539,0.142425454
6.016968073,0.142472099,,,8.750176529,0.13758366,8.490169626,0.144643423,8.761474368,0.139770749,8.503438972,0.146415488
6.179454739,0.146367209,,,8.984606694,0.141418505,8.717960059,0.148678288,8.995904533,0.14356573,8.731229405,0.150400523
6.341941406,0.150257308,,,9.219036859,0.145253367,8.945750492,0.152713187,9.230334698,0.147350702,8.959019838,0.154380546
6.505668428,0.154142406,,,9.453467024,0.149078299,9.171329367,0.156738073,9.461940404,0.151135667,9.18681027,0.158355589
6.668155094,0.158027504,,,9.68507273,0.152898219,9.396908242,0.160752972,9.696370569,0.154920622,9.412389146,0.162320634
6.83064176,0.161912597,,,9.919502895,0.156713134,9.624698675,0.164767879,9.930800734,0.158700594,9.637968021,0.166285672
6.993128426,0.16579269,,,10.1511086,0.160528042,9.85027755,0.168782791,10.16240644,0.162475546,9.863546896,0.170250706
7.154374736,0.169667781,,,10.38271431,0.164342954,10.07364487,0.172792673,10.3968366,0.166245504,10.08912577,0.174205753
7.316861403,0.173542869,,,10.61432001,0.168152852,10.29922374,0.176797603,10.62844231,0.170015465,10.31470465,0.178165777
7.479348069,0.17741294,,,10.84592572,0.171962761,10.52480262,0.180787504,10.86004802,0.173770455,10.53807196,0.182120804
7.640594379,0.181278015,,,11.07753142,0.175757692,10.74816994,0.184772449,11.09165372,0.177525445,10.76365084,0.186075821
7.801840689,0.185143084,,,11.30631267,0.179552632,10.97153725,0.188752347,11.32043497,0.181275451,10.98701816,0.190015838
7.963086999,0.189008143,,,11.53791837,0.183347562,11.19490457,0.192727295,11.55204067,0.185015458,11.21038547,0.193945848
8.124333309,0.192863197,,,11.76669962,0.187137477,11.41827189,0.196702223,11.78364638,0.188760447,11.43375279,0.197865864
8.285579618,0.196718245,,,11.99830532,0.190917401,11.63942765,0.200672165,12.01242762,0.192505436,11.65490855,0.201780889
8.446825928,0.200568275,,,12.22708657,0.194702329,11.86279497,0.204637119,12.24120887,0.196245408,11.87827587,0.205685922
8.606831882,0.20441831,,,12.45586782,0.198477265,12.08395073,0.208597103,12.46999011,0.199980393,12.09943163,0.209580966
